date,product,category,region,units,revenue,margin
2024-01-03,Aurora,Accessories,West,120,5400,0.32
2024-01-05,Boreal,Gadgets,East,90,7200,0.28
2024-01-06,Cirrus,Accessories,North,75,3100,0.35
2024-01-08,Drift,Services,South,60,8400,0.42
2024-01-09,Echo,Gadgets,West,140,9800,0.25
2024-01-12,Fjord,Accessories,East,110,5600,0.31
2024-01-14,Glint,Services,North,55,9100,0.45
2024-01-15,Helix,Gadgets,South,80,6400,0.27
2024-01-18,Iris,Accessories,West,150,6900,0.33
2024-01-20,Jade,Services,East,45,8800,0.47
2024-01-22,Kite,Gadgets,North,130,7600,0.29
2024-01-24,Lumen,Accessories,South,95,5200,0.34
2024-01-26,Mesa,Services,West,70,9300,0.41
2024-01-28,Nova,Gadgets,East,160,10500,0.26
2024-01-30,Orion,Accessories,North,85,4700,0.36
2024-02-02,Pulse,Services,South,50,8600,0.44
2024-02-04,Quartz,Gadgets,West,175,11200,0.24
2024-02-06,Rift,Accessories,East,105,5900,0.32
2024-02-08,Solace,Services,North,65,9000,0.43
2024-02-10,Talon,Gadgets,South,120,8300,0.28
2024-02-12,Umber,Accessories,West,140,6100,0.33
2024-02-14,Vale,Services,East,55,9500,0.46
2024-02-16,Wisp,Gadgets,North,150,9900,0.27
2024-02-18,Xylo,Accessories,South,90,5200,0.35
2024-02-20,Yonder,Services,West,72,9200,0.42
2024-02-22,Zenith,Gadgets,East,165,10800,0.25
2024-02-24,Atlas,Accessories,North,100,5400,0.34
2024-02-26,Bright,Services,South,58,8900,0.45
2024-02-28,Comet,Gadgets,West,155,10100,0.26
2024-03-01,Dune,Accessories,East,112,6000,0.32
